Graph,n,m,diam,weighted?,alpha,implementation,k,b,|E^k|,#constraints,#nonzeros,IP build time,IP solve time,LB,UB,#B&B nodes,#callbacks,callback time,#lazy cuts,solve status #,heuristic time,heuristic obj,total time
karate,34,78,5,N,n/a,R_full,4,15,553,7480,22482,0.07,0.20,0,0,0,n/a,n/a,n/a,2,0.01,0,0.28
dolphins,62,159,8,N,n/a,R_full,4,15,1459,20414,62724,0.12,22.98,157,157,118,n/a,n/a,n/a,2,0.03,169,23.17
lesmis,77,254,5,N,n/a,R_full,4,15,2899,45307,142192,0.18,4.26,81,81,0,n/a,n/a,n/a,2,0.03,88,4.49
LindenStrasse,232,303,13,N,n/a,R_full,4,15,7257,62262,183499,0.48,2.67,1069,1069,0,n/a,n/a,n/a,2,0.14,1099,3.33
polbooks,105,441,7,N,n/a,R_full,4,15,4685,95182,305907,0.41,298.30,1424,1424,95,n/a,n/a,n/a,2,0.12,1576,298.86
adjnoun,112,425,5,N,n/a,R_full,4,15,6178,148603,488575,0.62,2395.27,2625,2625,271,n/a,n/a,n/a,2,0.20,2681,2396.14
football,115,613,4,N,n/a,R_full,4,15,6555,176224,580280,0.77,3600.43,3732,4748,245,n/a,n/a,n/a,9,0.29,4748,3601.55
netscience,1589,2742,1589,N,n/a,R_full,4,15,22847,300616,920452,8.54,103.66,7130,7130,476,n/a,n/a,n/a,2,1.63,7330,114.30
jazz,198,2742,6,N,n/a,R_full,4,15,19336,1181013,4111784,5.47,3648.27,11245,14545,0,n/a,n/a,n/a,9,1.63,14545,3655.68
SmallWorld,233,994,4,N,n/a,R_full,4,15,27028,662111,2175510,2.88,3678.87,4426,5428,0,n/a,n/a,n/a,9,0.48,5428,3682.51
Erdos971,429,1312,11,N,n/a,R_full,4,15,62059,952188,3039153,4.56,3622.89,32068,33530,0,n/a,n/a,n/a,9,3.36,33530,3631.05
S.Cerevisae,1458,1948,19,N,n/a,R_full,4,15,117958,983098,2908773,10.91,52.06,37906,37906,0,n/a,n/a,n/a,2,17.28,38011,80.78
USAir,332,2126,6,N,n/a,R_full,4,15,53447,1592255,5381769,7.06,201.12,14605,14605,0,n/a,n/a,n/a,2,1.36,14605,209.81
power,4941,6594,46,N,n/a,R_full,4,15,105233,877580,2543117,89.91,299.47,88312,88312,0,n/a,n/a,n/a,2,306.87,98772,737.54
H.Pylori,706,1392,9,N,n/a,R_full,4,15,162758,1567946,4795905,8.19,453.12,62589,62589,0,n/a,n/a,n/a,2,6.26,62589,467.88
Harvard500,500,2043,6,N,n/a,R_full,4,15,119080,2648649,8653826,11.81,686.76,9648,9648,0,n/a,n/a,n/a,2,1.79,11217,700.78
homer,542,1619,9,N,n/a,R_full,4,15,133947,2029415,6500276,9.75,3779.14,30917,32208,0,n/a,n/a,n/a,9,2.32,32208,3791.80
celegans_metabolic,453,2025,7,N,n/a,R_full,4,15,100476,2473631,8176372,15.16,3603.36,29153,30093,0,n/a,n/a,n/a,9,4.15,30093,3623.09
