Graph,n,m,diam,weighted?,alpha,implementation,k,b,|E^k|,#constraints,#nonzeros,IP build time,IP solve time,LB,UB,#B&B nodes,#callbacks,callback time,#lazy cuts,solve status #,heuristic time,heuristic obj,total time
adjnoun,112,425,5,N,n/a,Thin_F,5,15,6216,168923,974821,1.22,3600.83,2701.85,3118,744,580,7.44,46545,9,0.20,3199,3602.32
football,115,613,4,N,n/a,Thin_F,5,15,6555,146121,846278,0.92,3600.88,3729.65,4659,646,621,10.76,126337,9,0.29,4939,3602.14
netscience,1589,2742,1589,N,n/a,Thin_F,5,15,34931,37955,201321,0.86,22.35,7758,7758,0,18,9.81,17857,2,1.60,8279,24.85
jazz,198,2742,6,N,n/a,Thin_F,5,15,19495,6912671,40746989,41.64,3606.61,11291.38,15106,5,26,1.00,2806,9,1.63,15106,3651.22
SmallWorld,233,994,4,N,n/a,Thin_F,5,15,27028,483792,2751352,4.22,2819.22,4974,4974,108,102,3.86,6855,2,0.54,6219,2824.09
Erdos971,429,1312,11,N,n/a,Thin_F,5,15,79891,958220,5605372,9.86,3600.45,32045.14,51062,0,4,4.22,77364,9,3.84,51062,3614.38
S.Cerevisae,1458,1948,19,N,n/a,Thin_F,5,15,270717,166861,943230,12.79,1231.93,78746,78746,19,32,78.27,276000,2,17.33,79373,1262.33
USAir,332,2126,6,N,n/a,Thin_F,5,15,54890,2072094,11901983,15.17,3059.73,16115,16115,0,5,0.25,3777,2,1.39,16115,3076.68
power,4941,6594,46,N,n/a,Thin_F,5,15,185992,144037,777733,40.75,163.30,147565,147565,3,16,86.93,163707,2,293.83,169841,499.73
H.Pylori,706,1392,9,N,n/a,Thin_F,5,15,225276,819227,4788787,15.78,3600.52,62589,113272,0,3,20.94,113876,9,6.37,113272,3622.95
Harvard500,500,2043,6,N,n/a,Thin_F,5,15,124560,1999456,11728596,17.20,3439.56,15165,15165,3,36,5.62,41497,2,1.93,19294,3459.12
homer,542,1619,9,N,n/a,Thin_F,5,15,143902,1892098,11017852,21.25,3600.91,30836.43,44906,0,4,6.63,42143,9,2.74,44906,3625.32
celegans_metabolic,453,2025,7,N,n/a,Thin_F,5,15,102196,3360543,19523774,25.95,3602.08,29152.57,48512,0,3,1.21,27330,9,4.08,48512,3632.76
email,1133,5451,8,N,n/a,Thin_F,5,15,631370,15514840,91807040,178.61,3622.93,-1E+100,583151,0,2,0.96,82569,9,31.77,583151,3847.01
hep-th,8361,15751,8361,N,n/a,Thin_F,5,15,3533314,4151526,24199330,781.24,3605.46,-1E+100,2815206,0,2,14.11,2193189,9,608.40,2815206,5000.74
karate,34,78,5,N,n/a,R_full,5,15,561,10623,32335,0.06,0.16,0,0,0,n/a,n/a,n/a,2,0.01,0,0.23
dolphins,62,159,8,N,n/a,R_full,5,15,1717,31821,99494,0.17,41.02,166,166,221,n/a,n/a,n/a,2,0.02,195,41.26
lesmis,77,254,5,N,n/a,R_full,5,15,2926,65001,206608,0.25,7.25,81,81,0,n/a,n/a,n/a,2,0.03,88,7.56
LindenStrasse,232,303,13,N,n/a,R_full,5,15,12768,128506,383226,0.67,4.88,1354,1354,0,n/a,n/a,n/a,2,0.14,1411,5.72
polbooks,105,441,7,N,n/a,R_full,5,15,5316,146687,482846,0.68,1332.45,1467,1467,52,n/a,n/a,n/a,2,0.12,1679,1333.31
adjnoun,112,425,5,N,n/a,R_full,5,15,6216,209816,702801,0.94,3668.91,2153,3199,0,n/a,n/a,n/a,9,0.20,3199,3670.14
football,115,613,4,N,n/a,R_full,5,15,6555,253282,856350,1.11,3638.01,3540,4939,0,n/a,n/a,n/a,9,0.30,4939,3639.51
netscience,1589,2742,1589,N,n/a,R_full,5,15,34931,559813,1750792,11.99,689.01,7758,7758,0,n/a,n/a,n/a,2,1.61,8279,703.20
jazz,198,2742,6,N,n/a,R_full,5,15,19495,1626572,5799325,7.28,3600.52,11284,15106,0,n/a,n/a,n/a,9,1.59,15106,3609.84
SmallWorld,233,994,4,N,n/a,R_full,5,15,27028,917127,3061428,4.15,3613.69,4746,5430,0,n/a,n/a,n/a,9,0.49,6219,3618.60
Erdos971,429,1312,11,N,n/a,R_full,5,15,79891,1583377,5152043,8.84,3602.73,-1E+100,51062,0,n/a,n/a,n/a,9,3.85,51062,3615.54
S.Cerevisae,1458,1948,19,N,n/a,R_full,5,15,270717,2484346,7431280,18.76,3665.47,78489,79097,0,n/a,n/a,n/a,9,17.30,79373,3702.51
USAir,332,2126,6,N,n/a,R_full,5,15,54890,2237083,7687082,9.88,536.56,16115,16115,0,n/a,n/a,n/a,2,1.41,16115,548.20
power,4941,6594,46,N,n/a,R_full,5,15,185992,1807493,5306114,120.89,3610.57,-1E+100,169841,0,n/a,n/a,n/a,9,312.52,169841,4070.10
H.Pylori,706,1392,9,N,n/a,R_full,5,15,225276,2878774,8942868,14.83,3608.49,-1E+100,113272,0,n/a,n/a,n/a,9,6.95,113272,3630.46
Harvard500,500,2043,6,N,n/a,R_full,5,15,124560,4050055,13603104,18.74,3607.52,15131,19294,0,n/a,n/a,n/a,9,2.06,19294,3628.57
homer,542,1619,9,N,n/a,R_full,5,15,143902,3112921,10119513,14.84,3614.71,-1E+100,44906,0,n/a,n/a,n/a,9,2.55,44906,3632.42
celegans_metabolic,453,2025,7,N,n/a,R_full,5,15,102196,3510390,11812690,21.79,3618.64,-1E+100,48512,0,n/a,n/a,n/a,9,4.68,48512,3645.35
email,1133,5451,8,N,n/a,R_full,5,15,631370,23785678,81446583,110.22,3614.73,-1E+100,583151,0,n/a,n/a,n/a,9,26.69,583151,3754.66
Albany,90,149,469,Y,0.05,Thin_I,44,5,204,298,1076,0.01,0.03,136,136,0,6,0.01,39,2,0.07,139,0.12
Buffalo,90,149,3644,Y,0.05,Thin_I,260,5,205,283,1012,0.01,0.02,127,127,0,4,0.01,46,2,0.08,127,0.12
DCNYBOS,317,509,90841,Y,0.05,Thin_I,5286,5,2505,1738,6305,0.07,1.89,1910,1910,132,15,0.38,3678,2,0.90,1967,2.91
Korean,324,440,551,Y,0.05,Thin_I,50,5,2619,1454,5256,0.04,0.30,2038,2038,0,5,0.14,3223,2,0.74,2227,1.11
Anaheim,416,634,85431,Y,0.05,Thin_I,7709,5,4348,2305,8378,0.07,0.83,3540,3540,0,9,0.40,5605,2,1.36,3587,2.32
Barcelona,930,1798,1844,Y,0.05,Thin_I,127,5,21778,7253,26506,0.33,140.51,20259,20259,819,63,15.95,50389,2,8.15,20640,149.38
Rome,3353,4831,76654,Y,0.05,Thin_I,2888,5,281058,18845,69317,4.18,3601.16,253268,259481,61,14,362.14,661041,9,112.26,259481,3719.99
Austin,7388,10591,9817,Y,0.05,Thin_I,464,5,1368735,42775,157330,23.33,3604.96,30408,1352766,0,3,3384.20,2047955,9,602.50,1352766,4246.69
Chicago,12979,20627,14297,Y,0.05,Thin_I,889,5,4213117,91858,339181,68.49,3606.23,65083,4190256,0,3,3044.89,4581082,9,1977.27,4190256,5698.75
Albany,90,149,469,Y,0.05,Thin_I,44,10,204,298,1076,0.03,0.10,91,91,0,6,0.02,30,2,0.21,94,0.35
Buffalo,90,149,3644,Y,0.05,Thin_I,260,10,205,283,1012,0.01,0.03,89,89,0,6,0.01,37,2,0.17,94,0.21
DCNYBOS,317,509,90841,Y,0.05,Thin_I,5286,10,2505,1738,6305,0.06,2.25,1510,1510,202,19,0.49,3695,2,2.70,1636,5.05
Korean,324,440,551,Y,0.05,Thin_I,50,10,2619,1454,5256,0.05,0.47,1724,1724,0,10,0.23,3226,2,2.51,1918,3.06
Anaheim,416,634,85431,Y,0.05,Thin_I,7709,10,4348,2305,8378,0.06,1.42,3012,3012,35,12,0.51,5579,2,5.18,3055,6.73
Barcelona,930,1798,1844,Y,0.05,Thin_I,127,10,21778,7253,26506,0.31,3546.32,18977,18977,9868,119,3.45,60648,2,29.63,19674,3576.68
Rome,3353,4831,76654,Y,0.05,Thin_I,2888,10,281058,18845,69317,3.52,3600.71,222668,251184,3,6,325.73,640971,9,392.30,251184,3998.88
Austin,7388,10591,9817,Y,0.05,Thin_I,464,10,1368735,42775,157330,21.50,3608.49,30275,1336801,0,3,3588.56,2082585,9,2271.42,1336801,5915.75
Chicago,12979,20627,14297,Y,0.05,Thin_I,889,10,4213117,91858,339181,74.73,3605.64,64922,4168480,0,3,2726.24,4533842,9,7664.38,4168480,11396.20
Albany,90,149,469,Y,0.10,Thin_I,65,5,403,429,1554,0.03,0.10,247,247,0,10,0.02,285,2,0.08,256,0.22
Buffalo,90,149,3644,Y,0.10,Thin_I,410,5,402,455,1626,0.02,0.12,269,269,43,10,0.02,262,2,0.08,272,0.22
DCNYBOS,317,509,90841,Y,0.10,Thin_I,8641,5,5010,2108,7727,0.06,3.58,3848,3848,75,18,0.51,9658,2,0.91,4224,4.59
Korean,324,440,551,Y,0.10,Thin_I,78,5,5308,1458,5272,0.05,0.86,4025,4025,0,8,0.26,8692,2,0.80,4521,1.75
Anaheim,416,634,85431,Y,0.10,Thin_I,11036,5,8637,2583,9476,0.09,2.54,7009,7009,26,14,0.78,14682,2,1.50,7161,4.20
Barcelona,930,1798,1844,Y,0.10,Thin_I,185,5,43449,8319,30698,0.44,3602.18,38374,41104,662,71,9.80,136128,9,8.16,41644,3610.98
Rome,3353,4831,76654,Y,0.10,Thin_I,4189,5,561987,19329,71125,4.79,3600.58,462892,524792,0,4,1597.00,1191881,9,108.96,524792,3719.58
Austin,7388,10591,9817,Y,0.10,Thin_I,716,5,2729813,43225,159102,24.41,3605.31,30793,2698516,0,3,3411.81,3283285,9,604.51,2698516,4247.91
Chicago,12979,20627,14297,Y,0.10,Thin_I,1325,5,8428119,91981,339645,94.23,3611.49,65187,8386922,0,3,2593.16,8569372,9,2104.38,8386922,5865.30
Albany,90,149,469,Y,0.10,Thin_I,65,10,403,429,1554,0.01,0.16,157,157,34,12,0.02,239,2,0.17,158,0.35
Buffalo,90,149,3644,Y,0.10,Thin_I,410,10,402,455,1626,0.01,0.12,179,179,67,9,0.01,212,2,0.21,195,0.34
DCNYBOS,317,509,90841,Y,0.10,Thin_I,8641,10,5010,2108,7727,0.07,8.11,3154,3154,444,24,0.65,10296,2,3.31,3394,11.54
Korean,324,440,551,Y,0.10,Thin_I,78,10,5308,1458,5272,0.06,1.55,3154,3154,1,10,0.31,8737,2,2.72,3669,4.37
Anaheim,416,634,85431,Y,0.10,Thin_I,11036,10,8637,2583,9476,0.09,4.10,5977,5977,71,15,0.78,14880,2,5.22,6251,9.48
Barcelona,930,1798,1844,Y,0.10,Thin_I,185,10,43449,8319,30698,0.35,3600.87,33164,38674,565,43,9.18,132346,9,31.77,39344,3633.18
Rome,3353,4831,76654,Y,0.10,Thin_I,4189,10,561987,19329,71125,5.06,3604.51,13502,506983,0,3,1434.68,1074354,9,397.36,506983,4009.54
Austin,7388,10591,9817,Y,0.10,Thin_I,716,10,2729813,43225,159102,25.30,3603.81,30660,2678413,0,3,3216.10,3246839,9,2270.52,2678413,5913.15
Chicago,12979,20627,14297,Y,0.10,Thin_I,1325,10,8428119,91981,339645,96.15,3611.26,65026,8350868,0,3,2689.41,8577045,9,8232.85,8350868,11996.58
